ObjectId2,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Open Date,EV Connector Types,Country,EV Pricing,Restricted Access,STATEFP,COUNTYFP,County,TRACTCE,GEOID,NAME,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,Tract,GreaterRegion,MTFCC,FUNCSTAT,ALAND_sqm,AWATER_sqm,Contiguous,Contiguo_1,Contiguo_2,UCD_urban_,Tract_POPU,NAME_12,SQMI_ALAND,DAC,Income_Gro,Shape_Leng,Join_Count,TARGET_FID,x,y,ObjectId,x2,y2,DAC/LIC,rural,DCFC,EV Network Clean,weight,weight_
1811,ELEC,Hyatt Regency Sacramento - Tesla Destination,1209 L St,Sacramento,CA,95814,E,,8,,Tesla Destination,https://www.tesla.com/destination-charging,38.5776272,-121.4907685,10/6/22 7:00,113298,2023-01-18 15:15:20 UTC,P,8/5/16 7:00,J1772 TESLA,US,Free,,6,67,Sacramento County,1101,6067001101,11.01,Census Tract 11.01,1569667,0,38.5772072,-121.4904629,6067001101,Sacramento,G5020,S,1569667,0,1961917,842.9358486,2327.48,Urban,2583,Sacramento County,0.606051954,Disadvantaged Community,Low,6058.556416,61,2330,-121.4907685,38.5776272,1137,-121.4907685,38.5776272,1,0,0,Tesla Destination,6.82E-05,9.88E-05
13167,ELEC,IRVINE  CO  OFC IOP 120 04,120 Progress,Irvine,CA,92618,E,,1,,ChargePoint Network,http://www.chargepoint.com/,33.678705,-117.761193,8/19/23 7:00,220992,2023-08-19 00:30:08 UTC,,6/9/22 7:00,J1772,US,,,6,59,Orange County,52517,6059052517,525.17,Census Tract 525.17,5217061,0,33.672529,-117.7750233,6059052517,Los Angeles,G5020,S,5217061,0,16918169,3748.02911,4513.88,Urban,10849,Orange County,2.009030019,,Middle,10174.93256,70,746,-117.761193,33.678705,13706,-117.761193,33.678705,0,0,0,ChargePoint Network,3.82E-05,5.53E-05
13987,ELEC,PF CA SD 15231Ave,15231 Avenue of Science,San Diego,CA,92128,E,,10,,POWERFLEX,https://www.powerflex.com,32.992312,-117.080483,7/12/22 7:00,223079,2023-02-14 15:54:11 UTC,P,7/1/22 7:00,,US,,FALSE,6,73,San Diego County,17056,6073017056,170.56,Census Tract 170.56,2783906,0,32.9800488,-117.0829709,6073017056,San Diego,G5020,S,2783906,0,3153807,966.3614081,3263.59,Urban,4486,San Diego County,1.074676307,,High,9809.64157,4,2769,-117.080483,32.992312,13837,-117.080483,32.992312,0,0,0,Other,6.82E-05,9.88E-05
11491,ELEC,SAN MANUEL SMC GW 4,3284 Victoria Ave,Highland,CA,92346,E,,2,,ChargePoint Network,http://www.chargepoint.com/,34.150294,-117.227937,8/19/23 7:00,205070,2023-08-19 00:35:38 UTC,,1/20/22 8:00,J1772,US,,,6,71,San Bernardino County,7403,6071007403,74.03,Census Tract 74.03,3923167,0,34.1467641,-117.2349681,6071007403,Southern Other,G5020,S,3923167,0,16918169,3748.02911,4513.88,Urban,8102,San Bernardino County,1.5148739,,Low,8091.236215,27,807,-117.227937,34.150294,11895,-117.227937,34.150294,1,0,0,ChargePoint Network,6.82E-05,9.88E-05
9807,ELEC,MCB Camp Pendleton (2 EV stations)-near Bldg 202850,Main Gate South Mesa SNCO Club,Camp Pendleton,CA,92054,E,,2,,Non-Networked,,33.317842,-117.320512,2/22/21 8:00,184372,2021-08-04 00:01:52 UTC,FG,1/15/21 8:00,J1772,US,,,6,73,San Diego County,18700,6073018700,187,Census Tract 187,548895417,10394327,33.3802376,-117.3901004,6073018700,San Diego,G5020,S,548895417,10394327,0,0,0,Rural,38754,San Diego County,211.7534129,,Low,113641.0153,24,1799,-117.320512,33.317842,9369,-117.320512,33.317842,1,1,0,Other,6.82E-05,9.88E-05
11478,ELEC,CYC CLOVIS STATION 4,1450 Shaw Ave,Clovis,CA,93611,E,,1,,ChargePoint Network,http://www.chargepoint.com/,36.807852,-119.689063,8/19/23 7:00,195895,2023-08-19 00:31:55 UTC,,9/15/21 7:00,J1772,US,,,6,19,Fresno County,5801,6019005801,58.01,Census Tract 58.01,2614846,0,36.8011817,-119.6910986,6019005801,Central Other,G5020,S,2614846,0,693154,194.1499714,3570.2,Urban,4699,Fresno County,1.010815422,,Low,6551.666035,4,2252,-119.689063,36.807852,11881,-119.689063,36.807852,1,0,0,ChargePoint Network,6.82E-05,9.88E-05
4337,ELEC,PARK PLACE PS6 STATION 2,3323 Michelson Dr,Irvine,CA,92612,E,,2,,ChargePoint Network,http://www.chargepoint.com/,33.671102,-117.842306,8/18/23 7:00,161037,2023-08-18 23:59:04 UTC,,6/12/20 7:00,J1772,US,,,6,59,Orange County,62610,6059062610,626.1,Census Tract 626.10,11653249,145012,33.6691905,-117.8609131,6059062610,Los Angeles,G5020,S,11653249,145012,16918169,3748.02911,4513.88,Urban,10440,Orange County,4.499270158,,Middle,13375.58149,118,184,-117.842306,33.671102,4428,-117.842306,33.671102,0,0,0,ChargePoint Network,3.82E-05,5.53E-05
8345,ELEC,4CD BRW STN 8,1351 Pioneer Square,Brentwood,CA,94513,E,,2,,ChargePoint Network,http://www.chargepoint.com/,37.896898,-121.719503,8/19/23 7:00,180846,2023-08-19 00:24:44 UTC,,1/27/21 8:00,J1772,US,,,6,13,Contra Costa County,304001,6013304001,3040.01,Census Tract 3040.01,28563123,240923,37.8837503,-121.7489395,6013304001,San Francisco,G5020,S,28563123,240923,6987344,1863.146371,3750.29,Urban,5272,Contra Costa County,11.17677645,,High,26566.6186,13,6698,-121.719503,37.896898,8671,-121.719503,37.896898,0,0,0,ChargePoint Network,3.82E-05,5.53E-05
10633,ELEC,HAMPTON INN WAT STATION 1,75 Lee Rd,Watsonville,CA,95076,E,,2,,ChargePoint Network,http://www.chargepoint.com/,36.895336,-121.778737,8/19/23 7:00,186419,2023-08-19 00:29:34 UTC,,3/21/21 7:00,J1772,US,,,6,87,Santa Cruz County,122300,6087122300,1223,Census Tract 1223,41846250,4325195,36.9028287,-121.8155396,6087122300,Central Other,G5020,S,41846250,4325195,251236,178.1710366,1410.08,Urban,3796,Santa Cruz County,16.15855557,,Middle,32931.82636,4,6166,-121.778737,36.895336,10522,-121.778737,36.895336,0,0,0,ChargePoint Network,6.82E-05,9.88E-05
9081,ELEC,Fiesta Village,1405 E Washington St,Colton,CA,92324,E,,2,,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,34.048737,-117.302467,8/19/23 7:00,184909,2023-08-19 00:49:44 UTC,,2/12/21 8:00,J1772,US,,,6,71,San Bernardino County,7109,6071007109,71.09,Census Tract 71.09,2622468,0,34.042144,-117.30729,6071007109,Southern Other,G5020,S,2622468,0,16918169,3748.02911,4513.88,Urban,6611,San Bernardino County,1.012539368,Disadvantaged Community,Low,8212.235384,2,7549,-117.302467,34.048737,9234,-117.302467,34.048737,1,0,0,Other,6.82E-05,9.88E-05
8143,ELEC,AHBD ADVENTIST 2,1609 28th St,Bakersfield,CA,93301,E,,2,,ChargePoint Network,http://www.chargepoint.com/,35.384682,-119.020609,8/19/23 7:00,181249,2023-08-19 00:25:37 UTC,,1/27/21 8:00,J1772,US,,,6,29,Kern County,1600,6029001600,16,Census Tract 16,3601895,0,35.3769557,-119.0153944,6029001600,Los Angeles,G5020,S,3601895,0,536457,214.158333,2504.96,Urban,1967,Kern County,1.390693458,Disadvantaged Community,Low,9373.70207,37,1243,-119.020609,35.384682,8362,-119.020609,35.384682,1,0,0,ChargePoint Network,3.82E-05,5.53E-05
16184,ELEC,SANDBOX SOLANA RETAIL-6,343 Hwy 101,Solana Beach,CA,92075,E,,2,,ChargePoint Network,http://www.chargepoint.com/,32.987594,-117.271125,8/19/23 7:00,307325,2023-08-19 00:46:09 UTC,,8/17/23 7:00,J1772,US,,,6,73,San Diego County,17304,6073017304,173.04,Census Tract 173.04,2729735,263564,32.9903701,-117.2633676,6073017304,San Diego,G5020,S,2729735,263564,3153807,966.3614081,3263.59,Urban,5982,San Diego County,1.053956915,,Middle,7176.446833,28,4764,-117.271125,32.987594,16659,-117.271125,32.987594,0,0,0,ChargePoint Network,6.82E-05,9.88E-05
8545,ELEC,UC IRVINE SSPS G FLR 14,4502-4564 Campus Dr,Irvine,CA,92617,E,,2,,ChargePoint Network,http://www.chargepoint.com/,33.647731,-117.837247,8/19/23 7:00,178920,2023-08-19 00:03:16 UTC,,1/27/21 8:00,J1772,US,,,6,59,Orange County,62614,6059062614,626.14,Census Tract 626.14,6225544,62414,33.6439363,-117.8381633,6059062614,Los Angeles,G5020,S,6225544,62414,16918169,3748.02911,4513.88,Urban,17197,Orange County,2.403695376,,Low,10606.67141,110,863,-117.837247,33.647731,8620,-117.837247,33.647731,1,0,0,ChargePoint Network,3.82E-05,5.53E-05
3658,ELEC,BAMC P1 STATION 2,375 Beale St.,San Francisco,CA,94105,E,,2,,ChargePoint Network,http://www.chargepoint.com/,37.788014,-122.391391,8/19/23 7:00,159895,2023-08-19 00:07:18 UTC,,6/12/20 7:00,J1772,US,,,6,75,San Francisco County,61500,6075061500,615,Census Tract 615,1672408,439050,37.7877258,-122.3923886,6075061500,San Francisco,G5020,S,1672408,439050,6987344,1863.146371,3750.29,Urban,16968,San Francisco County,0.641213105,,High,6606.034696,54,7539,-122.391391,37.788014,3701,-122.391391,37.788014,0,0,0,ChargePoint Network,3.82E-05,5.53E-05
10594,ELEC,"Kohl's Murrieta, CA",24661 Madison Ave,Murrieta,CA,92562,E,,2,,Volta,https://voltacharging.com/,33.5620595,-117.2074425,8/19/23 7:00,194583,2023-08-19 00:58:34 UTC,,8/26/21 7:00,J1772,US,,FALSE,6,65,Riverside County,49800,6065049800,498,Census Tract 498,9291042,0,33.546201,-117.1978916,6065049800,Southern Other,G5020,S,9291042,0,16918169,3748.02911,4513.88,Urban,4621,Riverside County,3.587290284,,Middle,14195.94553,12,4242,-117.2074425,33.5620595,10931,-117.2074425,33.5620595,0,0,0,Volta,6.82E-05,9.88E-05
8683,ELEC,HOLLYWOOD 959 LEVEL 6 - 02,6600-6650 Romaine St,Los Angeles,CA,90038,E,,2,,ChargePoint Network,http://www.chargepoint.com/,34.088806,-118.333947,8/19/23 7:00,179274,2023-08-19 00:01:26 UTC,,1/27/21 8:00,J1772,US,,,6,37,Los Angeles County,191901,6037191901,1919.01,Census Tract 1919.01,773162,0,34.0906829,-118.3383611,6037191901,Los Angeles,G5020,S,773162,0,16918169,3748.02911,4513.88,Urban,3060,Los Angeles County,0.298519008,Disadvantaged Community,Low,3622.089197,23,7232,-118.333947,34.088806,8897,-118.333947,34.088806,1,0,0,ChargePoint Network,3.82E-05,5.53E-05
15862,ELEC,The Promenade at Garden Grove Aldi,9669 Chapman Ave,Garden Grove,CA,92841,E,,2,,Volta,https://voltacharging.com/,33.7898475,-117.960282,8/19/23 7:00,253638,2023-08-19 00:58:23 UTC,,2/8/23 8:00,J1772,US,,,6,59,Orange County,88201,6059088201,882.01,Census Tract 882.01,1310203,0,33.7958279,-117.9631284,6059088201,Los Angeles,G5020,S,1310203,0,16918169,3748.02911,4513.88,Urban,4082,Orange County,0.505872771,,Low,4836.798896,3,384,-117.960282,33.7898475,15713,-117.960282,33.7898475,1,0,0,Volta,3.82E-05,5.53E-05
15073,ELEC,4501 Wadsworth Ave,4501 Wadsworth Ave,Los Angeles,CA,90011,E,,1,,FLO,https://flo.ca/,34.00259416,-118.2590371,8/19/23 7:00,260456,2023-08-19 01:00:37 UTC,,5/6/23 7:00,J1772,US,,,6,37,Los Angeles County,228600,6037228600,2286,Census Tract 2286,526963,0,34.0036935,-118.2608661,6037228600,Los Angeles,G5020,S,526963,0,16918169,3748.02911,4513.88,Urban,5301,Los Angeles County,0.203461468,Disadvantaged Community,Low,2923.300131,2,1497,-118.2590371,34.00259416,15842,-118.2590371,34.00259416,1,0,0,FLO,3.82E-05,5.53E-05
6587,ELEC,MBA HH SPACE 2,100 Pacific St,Monterey,CA,93940,E,,2,,ChargePoint Network,http://www.chargepoint.com/,36.603551,-121.895861,8/19/23 7:00,176326,2023-08-19 00:17:38 UTC,,1/27/21 8:00,J1772,US,,,6,53,Monterey County,12700,6053012700,127,Census Tract 127,1593820,552291,36.6021019,-121.8947338,6053012700,Central Other,G5020,S,1593820,552291,126149,112.5747404,1120.58,Urban,3472,Monterey County,0.61537709,,Middle,8208.353875,8,1247,-121.895861,36.603551,6891,-121.895861,36.603551,0,0,0,ChargePoint Network,6.82E-05,9.88E-05
1022,ELEC,The Coachman Hotel - Tesla Destination,4100 Pine Blvd,South Lake Tahoe,CA,96150,E,,2,,Tesla Destination,https://www.tesla.com/destination-charging,38.959537,-119.946952,10/6/22 7:00,113428,2023-01-18 15:15:20 UTC,P,7/12/16 7:00,J1772 TESLA,US,Free,,6,17,El Dorado County,31600,6017031600,316,Census Tract 316,7926181,0,38.9436742,-119.9388296,6017031600,Sacramento,G5020,S,7926181,0,26878,32.65813844,823.01,Rural,3326,El Dorado County,3.060314723,,Low,12646.52961,20,869,-119.946952,38.959537,1498,-119.946952,38.959537,1,1,0,Tesla Destination,6.82E-05,9.88E-05
2679,ELEC,3413 CAHUENGA BLVD,3413 CAHUENGA BLVD,Studio CIty,CA,90068,T,,1,,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,34.131788,-118.352482,8/19/23 7:00,149581,2023-08-19 00:49:17 UTC,,11/27/19 8:00,J1772,US,,,6,37,Los Angeles County,143700,6037143700,1437,Census Tract 1437,3389419,0,34.1291853,-118.3567733,6037143700,Los Angeles,G5020,S,3389419,0,16918169,3748.02911,4513.88,Urban,3811,Los Angeles County,1.267611476,,High,10746.77827,20,7055,-118.352482,34.131788,2902,-118.352482,34.131788,0,0,0,Other,3.82E-05,5.53E-05
11534,ELEC,ONESOUTH STATION 1,1914 Pacific Coast Hwy,Redondo Beach,CA,90277,E,,2,,ChargePoint Network,http://www.chargepoint.com/,33.816138,-118.376189,8/19/23 7:00,205186,2023-08-19 00:16:24 UTC,,1/22/22 8:00,J1772,US,,,6,37,Los Angeles County,621400,6037621400,6214,Census Tract 6214,1275523,0,33.8227505,-118.3796439,6037621400,Los Angeles,G5020,S,1275523,0,16918169,3748.02911,4513.88,Urban,4305,Los Angeles County,0.492487387,,High,4891.273788,1,7782,-118.376189,33.816138,11040,-118.376189,33.816138,0,0,0,ChargePoint Network,3.82E-05,5.53E-05
976,ELEC,Resort at Squaw Creek,1960 Squaw Valley Rd,Olympic Valley,CA,96146,E,,4,,Non-Networked,,39.19591,-120.236254,1/10/23 8:00,52640,2023-02-14 15:54:11 UTC,P,8/1/13 7:00,J1772,US,Variable fee,TRUE,6,61,Placer County,22014,6061022014,220.14,Census Tract 220.14,318162396,1615521,39.2581988,-120.3619496,6061022014,Sacramento,G5020,S,318162396,1615521,0,0,0,Rural,1318,Placer County,122.8431081,,Middle,109299.0011,4,310,-120.236254,39.19591,976,-120.236254,39.19591,0,1,0,Other,6.82E-05,9.88E-05
3987,ELEC,SANTA CRUZ CNTY 691 OCEAN ST,691-699 Ocean St,Santa Cruz,CA,95060,E,,2,,ChargePoint Network,http://www.chargepoint.com/,36.977668,-122.020814,8/19/23 7:00,159828,2023-08-19 00:07:47 UTC,,6/12/20 7:00,J1772,US,,,6,87,Santa Cruz County,100800,6087100800,1008,Census Tract 1008,1887464,0,36.9739622,-122.0156066,6087100800,Central Other,G5020,S,1887464,0,251236,178.1710366,1410.08,Urban,6608,Santa Cruz County,0.728753625,,Low,5485.910021,4,6498,-122.020814,36.977668,3895,-122.020814,36.977668,1,0,0,ChargePoint Network,6.82E-05,9.88E-05
11293,ELEC,FIG GARDEN FGFC STATION 17,5260 N Palm Ave,Fresno,CA,93704,E,,1,,ChargePoint Network,http://www.chargepoint.com/,36.812874,-119.805725,8/19/23 7:00,204424,2023-08-19 00:34:29 UTC,,1/7/22 8:00,J1772,US,,,6,19,Fresno County,4506,6019004506,45.06,Census Tract 45.06,2575309,0,36.815613,-119.8083939,6019004506,Central Other,G5020,S,2575309,0,693154,194.1499714,3570.2,Urban,3254,Fresno County,0.994333114,,Middle,6417.582289,21,2828,-119.805725,36.812874,11970,-119.805725,36.812874,0,0,0,ChargePoint Network,6.82E-05,9.88E-05
8973,ELEC,"STC VENTURE EV1-CT 13,15",330 S Murphy Ave,Sunnyvale,CA,94086,T,,1,,ChargePoint Network,http://www.chargepoint.com/,37.373607,-122.031134,8/19/23 7:00,180775,2023-08-19 00:22:44 UTC,,1/27/21 8:00,J1772,US,,,6,85,Santa Clara County,508602,6085508602,5086.02,Census Tract 5086.02,1340639,0,37.3727792,-122.0289163,6085508602,San Francisco,G5020,S,1340639,0,6987344,1863.146371,3750.29,Urban,5054,Santa Clara County,0.517622627,,Middle,4712.748319,44,2058,-122.031134,37.373607,8880,-122.031134,37.373607,0,0,0,ChargePoint Network,3.82E-05,5.53E-05
6550,ELEC,IRVINE  CO  OFC THE QUAD 520 03,15244 Sand Canyon Ave,Irvine,CA,92618,E,,2,,ChargePoint Network,http://www.chargepoint.com/,33.673376,-117.761466,8/19/23 7:00,177332,2023-08-19 00:10:50 UTC,,1/27/21 8:00,J1772,US,,,6,59,Orange County,52518,6059052518,525.18,Census Tract 525.18,5781325,0,33.6593661,-117.7578556,6059052518,Los Angeles,G5020,S,5781325,0,16918169,3748.02911,4513.88,Urban,7589,Orange County,2.23746997,,Middle,11630.63507,136,749,-117.761466,33.673376,6755,-117.761466,33.673376,0,0,0,ChargePoint Network,3.82E-05,5.53E-05
2988,ELEC,Skyview Los Alamos Hotel - Tesla Destination,9150 US Hwy 101,Los Alamos,CA,93401,E,,2,,Tesla Destination,https://www.tesla.com/destination-charging,34.744634,-120.271812,10/6/22 7:00,150617,2023-01-18 15:15:20 UTC,P,3/5/19 8:00,TESLA,US,Free,,6,83,Santa Barbara County,1901,6083001901,19.01,Census Tract 19.01,419555667,1266125,34.7435494,-120.1899733,6083001901,Los Angeles,G5020,S,419555667,1266125,0,0,0,Rural,7519,Santa Barbara County,161.9912833,,Middle,121560.1521,5,2467,-120.271812,34.744634,2320,-120.271812,34.744634,0,1,0,Tesla Destination,6.82E-05,9.88E-05
8713,ELEC,IRVINE  CO  OFC 5 PARK PLAZA 03,5 Park Plaza,Irvine,CA,92614,E,,2,,ChargePoint Network,http://www.chargepoint.com/,33.676118,-117.837958,8/18/23 7:00,179409,2023-08-19 00:00:08 UTC,,1/27/21 8:00,J1772,US,,,6,59,Orange County,75515,6059075515,755.15,Census Tract 755.15,18979005,33451,33.7048582,-117.8352397,6059075515,Los Angeles,G5020,S,18979005,33451,16918169,3748.02911,4513.88,Urban,21127,Orange County,7.327839511,,Low,21324.8674,93,3528,-117.837958,33.676118,8290,-117.837958,33.676118,1,0,0,ChargePoint Network,3.82E-05,5.53E-05
12751,ELEC,Tasteful Selections,13003 Di Giorgio Road,Arvin,CA,93202,E,,3,,Blink Network,http://www.blinkcharging.com/,35.252006,-118.859674,6/21/23 7:00,217123,2023-06-21 00:00:26 UTC,,5/6/22 7:00,J1772,US,Free,,6,29,Kern County,6202,6029006202,62.02,Census Tract 62.02,377788343,755424,35.1821665,-118.8856972,6029006202,Los Angeles,G5020,S,377788343,755424,0,0,0,Rural,8427,Kern County,145.8648352,Disadvantaged Community,Low,127740.9423,1,1312,-118.859674,35.252006,12612,-118.859674,35.252006,1,1,0,Other,6.82E-05,9.88E-05
58,ELEC,Helms Bakery Building,8800 Venice Blvd,Los Angeles,CA,90034,E,,6,,Non-Networked,,34.029971,-118.385231,6/12/23 7:00,21525,2023-06-12 16:56:16 UTC,P,4/25/17 7:00,J1772,US,"$1.35 per hour for first two hours, $3 per hour thereafter",FALSE,6,37,Los Angeles County,270200,6037270200,2702,Census Tract 2702,758089,6115,34.0328855,-118.3797742,6037270200,Los Angeles,G5020,S,758089,6115,16918169,3748.02911,4513.88,Urban,3226,Los Angeles County,0.292700065,,Low,4368.075768,5,4586,-118.385231,34.029971,229,-118.385231,34.029971,1,0,0,Other,3.82E-05,5.53E-05
10203,ELEC,CCC STATION 6,2880 Gateway Oaks Dr,Sacramento,CA,95833,E,,2,,ChargePoint Network,http://www.chargepoint.com/,38.621296,-121.521253,8/19/23 7:00,190657,2023-08-19 00:31:18 UTC,,6/2/21 7:00,J1772,US,,,6,67,Sacramento County,7010,6067007010,70.1,Census Tract 70.10,2422507,233845,38.6099173,-121.5148924,6067007010,Sacramento,G5020,S,2422507,233845,1961917,842.9358486,2327.48,Urban,3878,Sacramento County,0.93178652,,Middle,7986.536324,35,407,-121.521253,38.621296,10128,-121.521253,38.621296,0,0,0,ChargePoint Network,6.82E-05,9.88E-05
