,Unnamed: 0.1,Unnamed: 0,OBJECTID,Join_Count,TARGET_FID,Join_Count.1,TARGET_FID.1,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Mile2,GEO,Mile2_1,CA_tract,Differ_are,Differ_ran,rural,STATEFP 1,COUNTYFP 1,County,TRACTCE 1,GEOID 1,NAME 1,NAMELSAD 1,ALAND 1,AWATER 1,INTPTLAT 1,INTPTLON 1,Tract,urban_rura,POPULATION,DAC,CIscore,CIscoreP,Traffic_Pc,DAC_cat,MHI_2019_5,Avg_hshld_,HCD_Low_20,HCD_Modera,State_MHI_,State_MHI1,Income_Gro,Shape_Leng,x,y,GreaterRegion,DAC/LIC,DCFC,EV Network Clean,nacs
10,10,17,18,1,18,1,18,ELEC,City of Santa Monica - Pier,200 Santa Monica Pier,,Santa Monica,CA,90405,,310-458-8516,E,,Public,24 hours daily; pay lot,,,,,,3.0,,,Non-Networked,,200-9,34.010021,-118.49583,1/10/2023,7230,2023-02-14 15:54:11 UTC,LG,,,4/8/2019,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,6.0,37.0,701902.0,6037701902.0,7019.02,Census Tract 7019.02,G5020,S,1789787.0,440550.0,34.012479,-118.4951703,0.86113868,6037701902.0,0.86113868,6037701902.0,0.80247293,3.0,0.0,6.0,37.0,Los Angeles County,701902.0,6037701902.0,7019.02,Census Tract 7019.02,1790959.0,439378.0,34.012479,-118.4951703,6037701902.0,Urban,4659.0,Disadvantaged Community,44.27110923,81.19011599,74.0,CalEnviroScreen 4.0 Top 25%,"$67,422 ",1.0,"$66,250 ","$67,200 ",75235.0,89.62%,Middle,6013.957556,-118.49583,34.010021,Los Angeles,1,0,Other,False
11,11,18,19,1,19,1,19,ELEC,Westfield Parking Garage 1st Floor,14006 Riverside Dr,,Sherman Oaks,CA,91423,,888-264-2208,E,,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,,,,2.0,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.156407,-118.438965,11/4/2024,7233,2024-11-04 03:27:28 UTC,,,,5/30/1998,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,,6.0,37.0,128704.0,6037128704.0,1287.04,Census Tract 1287.04,G5020,S,832961.0,0.0,34.1602,-118.4355988,0.32160841,6037128704.0,0.32160841,6037128704.0,1.0,1.0,0.0,6.0,37.0,Los Angeles County,128702.0,6037128702.0,1287.02,Census Tract 1287.02,1642311.0,18542.0,34.160869,-118.439318,6037128702.0,Urban,5810.0,,0.0,0.0,0.0, ,"$76,202 ",2.0,"$75,700 ","$76,800 ",75235.0,101.29%,Middle,5188.951658,-118.438965,34.156407,Los Angeles,0,0,Other,False
12,12,20,21,1,21,1,21,ELEC,Office Max - Home Depot,7075 Firestone Blvd,,Downey,CA,90241,,562-806-6600,E,,Public,24 hours daily,,,,,,4.0,,,Non-Networked,,200-8,33.94756,-118.153806,7/11/2024,7250,2024-07-11 19:05:43 UTC,T,,,6/15/1998,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,False,,,,,,,,MD,False,,6.0,37.0,551401.0,6037551401.0,5514.01,Census Tract 5514.01,G5020,S,724200.0,0.0,33.9440441,-118.1559843,0.27961531,6037551401.0,0.27961531,6037551401.0,1.0,1.0,0.0,6.0,37.0,Los Angeles County,551401.0,6037551401.0,5514.01,Census Tract 5514.01,731877.0,0.0,33.9440174,-118.156034,6037551401.0,Urban,4582.0,Disadvantaged Community,47.00712723,84.48058497,57.0375,CalEnviroScreen 4.0 Top 25%,"$65,880 ",3.0,"$85,150 ","$86,400 ",75235.0,87.57%,Low,3583.807486,-118.153806,33.94756,Los Angeles,1,0,Other,False
13,13,29,30,1,30,1,30,ELEC,Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,,San Pedro,CA,90731,,310-732-7678,E,,Public,8am-5pm daily,,,,,,4.0,,,Non-Networked,,200-9,33.740758,-118.28192,7/11/2024,21402,2024-07-11 19:05:43 UTC,P,,,3/26/2013,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free; pay for parking,,,,,,,,,,False,,,,,,,,LD,False,,6.0,37.0,296220.0,6037296220.0,2962.2,Census Tract 2962.20,G5020,S,536366.0,0.0,33.7410279,-118.2837798,0.20709237,6037296220.0,0.20709237,6037296220.0,0.99999999,2.0,0.0,6.0,37.0,Los Angeles County,296220.0,6037296220.0,2962.2,Census Tract 2962.20,536366.0,0.0,33.7410279,-118.2837798,6037296220.0,Urban,4447.0,Disadvantaged Community,54.00752665,91.67927383,21.1375,CalEnviroScreen 4.0 Top 25%,"$30,020 ",3.0,"$85,150 ","$86,400 ",75235.0,39.90%,Low,2925.300374,-118.28192,33.740758,Los Angeles,1,0,Other,False
14,14,30,31,1,31,1,31,ELEC,Getty Center,1200 Getty Center Dr,Eight Level 2 and four Level 1 chargers located in P2 of main parking area. Eight Level 2 and eight Level 1 chargers located at Top of Hill Parking.,Los Angeles,CA,90049,,310-440-7300,E,,Public,Garage business hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,12.0,15.0,,,Non-Networked,,200-9,34.077588,-118.474585,1/10/2023,21419,2023-02-14 15:54:11 UTC,P,,,7/1/2013,,,,,J1772 NEMA520,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free; parking fee,,,,,,,,,,False,,,,,,,,LD,False,,6.0,37.0,262302.0,6037262302.0,2623.02,Census Tract 2623.02,G5020,S,3063535.0,0.0,34.0751234,-118.4768411,1.18283734,6037262302.0,1.18283734,6037262302.0,1.0,2.0,0.0,6.0,37.0,Los Angeles County,262302.0,6037262302.0,2623.02,Census Tract 2623.02,3063534.0,0.0,34.0751234,-118.4768411,6037262302.0,Urban,2845.0,,0.0,0.0,0.0, ,"$158,571 ",2.0,"$75,700 ","$76,800 ",75235.0,210.77%,High,9881.328146,-118.474585,34.077588,Los Angeles,0,0,Other,False
15,15,32,33,1,33,1,33,ELEC,City of Glendora - City Hall,114 S Vista Bonita Ave,Located across the street from City Hall,Glendora,CA,91741,,626-914-8200,E,,Public,5am-2am daily,,,,,,3.0,,,Non-Networked,,GPS,34.13556,-117.864,5/3/2023,21498,2024-01-31 22:07:01 UTC,LG,,,4/30/2002,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,6.0,37.0,401102.0,6037401102.0,4011.02,Census Tract 4011.02,G5020,S,1282147.0,0.0,34.1310435,-117.866662,0.49503977,6037401102.0,0.49503977,6037401102.0,1.0,1.0,0.0,6.0,37.0,Los Angeles County,401102.0,6037401102.0,4011.02,Census Tract 4011.02,1282147.0,0.0,34.1310435,-117.866662,6037401102.0,Urban,3896.0,,0.0,0.0,0.0, ,"$79,539 ",3.0,"$85,150 ","$86,400 ",75235.0,105.72%,Low,4857.082766,-117.864,34.13556,Los Angeles,1,0,Other,False
16,16,35,36,1,36,1,36,ELEC,Westfield MainPlace Mall,2800 N Main St,"Located in parking structure 5, near the food court, and near the 24 Hour Fitness",Santa Ana,CA,92705,,714-547-7800,E,,Public,Business hours,,,,,,8.0,,,Non-Networked,,GPS,33.777054,-117.870566,7/11/2024,21535,2024-07-11 19:05:43 UTC,P,,,5/30/2002,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,6.0,59.0,76002.0,6059076002.0,760.02,Census Tract 760.02,G5020,S,916450.0,0.0,33.7756099,-117.8661691,0.35384258,6059076002.0,0.35384258,6059076002.0,0.99999998,2.0,0.0,6.0,59.0,Orange County,76000.0,6059076000.0,760.0,Census Tract 760,3187267.0,34230.0,33.7812601,-117.8679465,6059076000.0,Urban,9150.0,,0.0,0.0,0.0, ,"$64,194 ",3.0,"$96,800 ","$115,250 ",75235.0,85.32%,Low,7853.631975,-117.870566,33.777054,Los Angeles,1,0,Other,False
17,17,37,38,1,38,1,38,ELEC,Brea Downtown Parking,101 S Brea Blvd,,Brea,CA,92821,,714-990-7650,E,,Public,Garage business hours; 4 hour parking limit,,,,,,4.0,,,Non-Networked,,200-8,33.919899,-117.898618,7/11/2023,21561,2024-01-31 22:07:01 UTC,LG,,,5/30/2002,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,,6.0,59.0,1503.0,6059001503.0,15.03,Census Tract 15.03,G5020,S,3066572.0,0.0,33.9154345,-117.9082181,1.18401162,6059001503.0,1.18401162,6059001503.0,1.0,1.0,0.0,6.0,59.0,Orange County,1503.0,6059001503.0,15.03,Census Tract 15.03,3085738.0,0.0,33.9153582,-117.9082621,6059001503.0,Urban,5049.0,,0.0,0.0,0.0, ,"$93,868 ",3.0,"$96,800 ","$115,250 ",75235.0,124.77%,Low,8075.562702,-117.898618,33.919899,Los Angeles,1,0,Other,False
18,18,38,39,1,39,1,39,ELEC,Home Depot,2745 Teller Rd,In front of garden center,Newbury Park,CA,91320,,805-375-6680,E,,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,4.0,2.0,,,Non-Networked,,GPS,34.192178,-118.934793,8/10/2023,21565,2024-01-31 22:07:01 UTC,P,,,5/15/2002,,,,,J1772 NEMA515,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,6.0,111.0,6102.0,6111006102.0,61.02,Census Tract 61.02,G5020,S,7611665.0,0.0,34.1986115,-118.9349149,2.9388633,6111006102.0,2.9388633,6111006102.0,0.40717811,7.0,0.0,6.0,111.0,Ventura County,6100.0,6111006100.0,61.0,Census Tract 61,10693552.0,0.0,34.1984587,-118.9295502,6111006100.0,Urban,8324.0,,0.0,0.0,0.0, ,"$102,717 ",3.0,"$81,350 ","$106,700 ",75235.0,136.53%,Middle,16999.49939,-118.934793,34.192178,Los Angeles,0,0,Other,False
19,19,40,41,1,41,1,41,ELEC,San Dimas Park & Ride,205 S San Dimas Ave,Bonita Ave and San Dimas Ave,San Dimas,CA,91773,,909-394-6271,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,GPS,34.105275,-117.809208,8/10/2023,21569,2024-01-31 22:07:01 UTC,P,,,5/30/2002,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,6.0,37.0,401311.0,6037401311.0,4013.11,Census Tract 4013.11,G5020,S,4278484.0,0.0,34.111192,-117.814475,1.65192886,6037401311.0,1.65192886,6037401311.0,1.0,2.0,0.0,6.0,37.0,Los Angeles County,401311.0,6037401311.0,4013.11,Census Tract 4013.11,4275986.0,0.0,34.1111833,-117.814474,6037401311.0,Urban,6120.0,,0.0,0.0,0.0, ,"$80,811 ",3.0,"$85,150 ","$86,400 ",75235.0,107.41%,Low,9588.230791,-117.809208,34.105275,Los Angeles,1,0,Other,False
20,20,41,42,1,42,1,42,ELEC,City of Pasadena - El Molino Lot,100 N El Molino Ave,,Pasadena,CA,91101,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,4.0,,,Non-Networked,,GPS,34.147709,-118.136621,1/10/2023,21594,2023-02-14 15:54:11 UTC,LG,,,5/30/2002,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free; parking fee,,,,,,,,,,False,,,,,,,,LD,False,,6.0,37.0,462202.0,6037462202.0,4622.02,Census Tract 4622.02,G5020,S,568258.0,0.0,34.1489274,-118.13693,0.21940532,6037462202.0,0.21940532,6037462202.0,0.99999996,2.0,0.0,6.0,37.0,Los Angeles County,462202.0,6037462202.0,4622.02,Census Tract 4622.02,568258.0,0.0,34.1489274,-118.13693,6037462202.0,Urban,2775.0,,0.0,0.0,0.0, ,"$64,388 ",2.0,"$75,700 ","$76,800 ",75235.0,85.58%,Low,3033.611524,-118.136621,34.147709,Los Angeles,1,0,Other,False
21,21,42,43,1,43,1,43,ELEC,Ventura County Government Center,800 S Victoria Ave,,Ventura,CA,93009,,,E,,Public,8am-5pm daily,,,,,,3.0,,,Non-Networked,,GPS,34.267352,-119.2124,10/12/2023,21606,2024-01-31 22:07:01 UTC,LG,,,10/19/2012,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,,6.0,111.0,1510.0,6111001510.0,15.1,Census Tract 15.10,G5020,S,1472237.0,1388.0,34.2716419,-119.2011606,0.56897032,6111001510.0,0.56897032,6111001510.0,1.0,2.0,0.0,6.0,111.0,Ventura County,1503.0,6111001503.0,15.03,Census Tract 15.03,2068671.0,1388.0,34.268934,-119.2022525,6111001503.0,Urban,5106.0,,0.0,0.0,0.0, ,"$53,990 ",2.0,"$72,300 ","$94,850 ",75235.0,71.76%,Low,6972.051005,-119.2124,34.267352,Los Angeles,1,0,Other,False
